Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-05,172.2686309814453,222.51927185058594,177.66302490234375,182.64999389648438,202.82383728027344,208.6449737548828,49.998939514160156,145.3673858642578,133.9650421142578,53.983421325683594,298.9788513183594,282.32269287109375,181.75477600097656,113.51166534423828,44.97900390625,162.55552673339844,122.84518432617188,57.091609954833984,232.0127410888672,109.36511993408203,76.82781982421875,303.04010009765625,126.6927261352539,142.57666015625,170.70297241210938,495.218017578125,220.9236602783203,42.773956298828125,36.206756591796875,48.43601608276367
2022-04-06,169.09014892578125,227.40530395507812,176.04356384277344,178.72000122070312,203.0022430419922,199.3912811279297,49.49822235107422,146.65768432617188,130.9522705078125,52.43593215942383,291.87255859375,276.469970703125,181.7454071044922,113.9520263671875,44.42762756347656,166.78395080566406,121.14080047607422,57.66737365722656,234.76690673828125,110.39340209960938,77.97492218017578,291.9470520019531,122.91970825195312,144.61453247070312,171.82284545898438,508.5990905761719,214.0054168701172,43.11433029174805,36.88943099975586,49.56161117553711
2022-04-07,169.39520263671875,228.96121215820312,175.27476501464844,177.97000122070312,202.71115112304688,198.7359619140625,49.73492431640625,148.6954803466797,130.26080322265625,52.07883071899414,289.92529296875,280.3686828613281,180.88182067871094,113.21224212646484,44.446319580078125,166.35374450683594,120.77225494384766,57.97809600830078,237.47439575195312,110.13632202148438,79.65428161621094,293.7699279785156,123.89647674560547,146.48638916015625,171.3616943359375,513.5725708007812,211.2107696533203,43.20455551147461,37.555458068847656,50.057254791259766
2022-04-08,167.3778839111328,229.30694580078125,176.5336456298828,175.1999969482422,203.77212524414062,195.76724243164062,49.416290283203125,151.21377563476562,130.26080322265625,52.444435119628906,296.6070251464844,288.1106262207031,178.49757385253906,112.49007415771484,43.941673278808594,166.6832733154297,122.98336029052734,58.33452606201172,234.76690673828125,110.03350067138672,80.46183013916016,289.4808654785156,122.7186050415039,147.62982177734375,173.96849060058594,522.1903076171875,212.02182006835938,43.91000747680664,37.81353759765625,50.3354606628418
2022-04-11,163.10707092285156,228.2605743408203,170.64279174804688,175.02999877929688,202.8519744873047,194.05946350097656,48.1417350769043,147.32508850097656,129.05567932128906,52.67401885986328,296.025634765625,284.045166015625,177.6621856689453,111.2923355102539,43.52113342285156,164.59649658203125,122.53194427490234,58.316246032714844,233.82394409179688,110.26119232177734,79.49826049804688,278.06622314453125,119.68297576904297,147.06735229492188,174.70252990722656,514.041259765625,209.84278869628906,44.21351623535156,36.98933029174805,49.337764739990234
2022-04-12,164.98663330078125,227.50540161132812,168.69200134277344,176.27999877929688,203.4622802734375,193.4240264892578,47.17671585083008,150.3950958251953,129.2433624267578,53.78786087036133,295.1211853027344,283.64703369140625,179.2766876220703,110.9488754272461,43.45571517944336,164.65139770507812,121.18685150146484,59.001678466796875,232.62892150878906,109.13007354736328,78.58058166503906,274.9468078613281,119.74042510986328,146.6247100830078,174.04376220703125,510.4736633300781,206.56935119628906,44.02484893798828,36.82283020019531,48.99881362915039
2022-04-13,167.68292236328125,230.66265869140625,172.58399963378906,182.8699951171875,204.93638610839844,194.3275604248047,47.477149963378906,152.76210021972656,130.73497009277344,54.55310821533203,297.142333984375,287.4716796875,182.89993286132812,111.08977508544922,43.93232345581055,165.34698486328125,117.28058624267578,59.157039642333984,234.64553833007812,109.18883514404297,79.03942108154297,280.3666687011719,122.0865707397461,147.03968811035156,172.88626098632812,513.6204223632812,208.39659118652344,44.41038131713867,37.13086700439453,50.27470016479492
2022-04-14,162.65443420410156,231.126708984375,174.0927276611328,181.94000244140625,213.89358520507812,188.06243896484375,46.584957122802734,152.69093322753906,128.8778839111328,55.6839599609375,296.8377685546875,282.0078430175781,183.21910095214844,111.45967102050781,42.68004608154297,164.65139770507812,116.19345092773438,59.422061920166016,233.87998962402344,108.24868774414062,79.75521850585938,272.7730712890625,127.80358123779297,146.21900939941406,173.38504028320312,511.5352783203125,207.9275665283203,44.156097412109375,37.30569839477539,50.22993850708008
2022-04-18,162.43792724609375,229.2250518798828,177.28323364257812,179.85000610351562,215.8747100830078,185.6795196533203,46.530330657958984,154.73760986328125,126.2108383178711,56.01556396484375,304.4423522949219,278.0164794921875,180.2904510498047,111.11620330810547,43.5865478515625,162.60128784179688,118.34928131103516,58.892005920410156,234.3934326171875,107.36730194091797,78.98436737060547,273.4457092285156,126.05111694335938,144.8266143798828,174.3072967529297,510.8275146484375,208.29888916015625,43.795162200927734,37.047611236572266,49.8462028503418
2022-04-19,164.73077392578125,230.53529357910156,179.8682861328125,185.97999572753906,217.9778594970703,190.0283660888672,47.18581771850586,152.9044952392578,130.29042053222656,57.010372161865234,310.0442810058594,285.04534912109375,185.10581970214844,113.74065399169922,44.79209899902344,167.5618896484375,120.79991912841797,59.467769622802734,238.4453125,110.24649047851562,78.72742462158203,278.10516357421875,131.2414093017578,146.99354553222656,165.7810821533203,514.2899780273438,210.77110290527344,44.09047317504883,37.96339797973633,50.41220474243164
