Date,AAPL,AMZN,BAC,GM,GOOG,JNJ,JPM,META,MSFT,NKE,T,TSLA
2020-11-13,116.33834075927734,156.4405059814453,24.03668212890625,39.92374801635742,88.32597351074219,130.9281463623047,101.16564178466797,275.4389343261719,207.93653869628906,120.60294342041016,15.926253318786621,136.1666717529297
2020-11-16,117.35286712646484,156.55299377441406,24.553024291992188,40.83485794067383,88.54269409179688,131.75791931152344,104.0211181640625,277.4379577636719,208.6280517578125,122.32343292236328,15.959309577941895,136.02999877929688
2020-11-17,116.46516418457031,156.7830047607422,24.526317596435547,40.6894645690918,87.98451232910156,130.44778442382812,102.9658432006836,273.4995422363281,205.9677276611328,124.29779052734375,15.992363929748535,147.20333862304688
2020-11-18,115.13848114013672,155.2729949951172,24.018871307373047,41.40671920776367,86.82291412353516,128.71836853027344,102.20318603515625,270.486083984375,203.2522735595703,123.75247192382812,15.766497611999512,162.2133331298828
2020-11-19,115.73352813720703,155.8509979248047,24.018871307373047,41.503639221191406,87.67484283447266,128.51748657226562,102.47808837890625,271.4508056640625,204.54263305664062,124.01571655273438,15.579190254211426,166.42333984375
2020-11-20,114.46538543701172,154.97000122070312,23.867530822753906,41.71687698364258,86.59476470947266,127.83618927001953,101.60016632080078,268.228515625,202.587890625,125.02165222167969,15.601227760314941,163.20333862304688
2020-11-23,111.0608901977539,154.91949462890625,24.383872985839844,43.39369201660156,86.23043060302734,126.53451538085938,104.52659606933594,266.96539306640625,202.31826782226562,126.10282135009766,15.766497611999512,173.9499969482422
2020-11-24,112.34854888916016,155.9029998779297,25.79937171936035,45.03174591064453,87.92137908935547,126.53451538085938,109.35963439941406,275.40911865234375,205.92922973632812,126.63871765136719,16.102540969848633,185.1266632080078
2020-11-25,113.18749237060547,159.2534942626953,25.843881607055664,44.06248474121094,88.04812622070312,126.36740112304688,108.21566009521484,274.0863342285156,205.93882751464844,127.428466796875,15.970329284667969,191.3333282470703
2020-11-27,113.7337646484375,159.76699829101562,25.808269500732422,43.674781799316406,89.12969970703125,126.64888000488281,107.49735260009766,276.2942199707031,207.24839782714844,126.2156753540039,15.992363929748535,195.25332641601562
